t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,10000000000000.0,9.7402306e+35,0.001,1.3143399357726697e-10,1.0471975511965976,0.001,3.755256959350484e-11,0.001,6.488640855635925e-11,300000000000000.0,50,52000000000000.0
1.3,9994011800000.0,5.6952469e+34,0.0031202946626999266,3.4067592729757565e-11,0.7019140582555272,0.0019614384547410307,1.912449771441839e-11,0.0024335853858349177,2.6633802378193112e-11,300000000000000.0,50,52000000000000.0
1.5,9993893500000.0,5.6202011e+34,0.003327435521247423,3.1447391769716917e-11,0.6793996541520345,0.0020788976881629005,1.804344484199871e-11,0.0025966569066847352,2.4960476141163506e-11,300000000000000.0,50,52000000000000.0
1.8,9993716500000.0,5.5409238e+34,0.003610990768489257,2.839491261177049e-11,0.6505562529140675,0.0022435987481848494,1.671822884702689e-11,0.002823670523215963,2.2952809063992423e-11,300000000000000.0,50,52000000000000.0
2.1,9993539900000.0,5.4870348e+34,0.0038691041630233756,2.604619507783182e-11,0.6261019142295394,0.0023970053644041312,1.5647814138378098e-11,0.003033729545522413,2.1362919723964065e-11,300000000000000.0,50,52000000000000.0
2.5,9993304700000.0,5.4374902e+34,0.004182957331670172,2.3624234581791406e-11,0.5984408107177723,0.0025874499789226534,1.4495408788434594e-11,0.0032930395629952253,1.967977739491302e-11,300000000000000.0,50,52000000000000.0
3.0,9993010900000.0,5.3945995e+34,0.0045380217638867505,2.1335882807610897e-11,0.5696062577533052,0.0028074126533686634,1.335877666453646e-11,0.0035909539108430095,1.8045846191935737e-11,300000000000000.0,50,52000000000000.0
3.6,9992658200000.0,5.3569234e+34,0.0049228351847634385,1.927618735083053e-11,0.540978510375107,0.003050474824312556,1.2293598363247433e-11,0.003918619044659282,1.6535904509896004e-11,300000000000000.0,50,52000000000000.0
4.3,9992246400000.0,5.3222527e+34,0.005329098844584616,1.746725150651859e-11,0.5133659523768064,0.0033115881483852644,1.1323294241460497e-11,0.004269237413061716,1.5176552948101955e-11,300000000000000.0,50,52000000000000.0
5.2,9991716300000.0,5.2848572e+34,0.0058008465964575154,1.5728931314805916e-11,0.48426129328459117,0.0036197166031831924,1.0358275986292842e-11,0.004681574455190479,1.3838350883217018e-11,300000000000000.0,50,52000000000000.0
6.2,9991126300000.0,5.2477174e+34,0.006274918673742672,1.4283272201298392e-11,0.4578153894062838,0.003933858480857873,9.529941343164974e-12,0.00510075018597894,1.2699569674526202e-11,300000000000000.0,50,52000000000000.0
7.5,9990358200000.0,5.1995394e+34,0.0068324208548187285,1.2877733357312981e-11,0.42983378145620316,0.004308081380695945,8.700804595957524e-12,0.005598880761804345,1.1567945749907955e-11,300000000000000.0,50,52000000000000.0
9.0,9989470600000.0,5.1375119e+34,0.007413904422466658,1.1670480740552352e-11,0.40374803957822525,0.004702954063458943,7.968909765347291e-12,0.006123404641433436,1.0575257725025936e-11,300000000000000.0,50,52000000000000.0
11.0,9988285200000.0,5.0686617e+34,0.008113208968203075,1.0481491170165169e-11,0.37594145905747417,0.005182795596041907,7.229408585194385e-12,0.006759656655024743,9.577594826123611e-12,300000000000000.0,50,52000000000000.0
13.0,9987097600000.0,4.9928906e+34,0.008747473480361725,9.591477401428884e-12,0.35358401009691237,0.005621763475386234,6.663266574813737e-12,0.0073408773555682545,8.817102859186382e-12,300000000000000.0,50,52000000000000.0
16.0,9985318100000.0,4.8456183e+34,0.00960861318735409,8.597891136480103e-12,0.3268841230414659,0.006222215354224835,6.018138076950675e-12,0.008134940180326044,7.953659230175027e-12,300000000000000.0,50,52000000000000.0
19.0,9983545600000.0,4.6852407e+34,0.010388532683587257,7.859449216553724e-12,0.3057424801741558,0.006769471834301827,5.529620402553405e-12,0.008857909779393077,7.301850621032066e-12,300000000000000.0,50,52000000000000.0
