t[yr],B[G],L[erg/s],P_fill[s],Pdot_fill[s/s],chi[rad],P_vac[s],Pdot_vac[s/s],P_vacObs[s],Pdot_vacObs[s/s],bpol,etor,btorAvg
0.0,10000000000000.0,2.6991326e+37,0.001,1.3143400935007321e-10,1.0471975511965976,0.001,3.755257410002091e-11,0.001,6.48864163430872e-11,300000000000000.0,50,52000000000000.0
1.3,9994019600000.0,1.3727712e+35,0.003119890916663904,3.407490435167747e-11,0.7020379460688122,0.00196129153631163,1.9125926563816025e-11,0.0024333329444017416,2.6636550340145376e-11,300000000000000.0,50,52000000000000.0
1.5,9993903200000.0,1.3546122e+35,0.003327004641565295,3.145431320411848e-11,0.6795301513794864,0.0020787301504580414,1.804490004327057e-11,0.0025963756311937823,2.4963170851418314e-11,300000000000000.0,50,52000000000000.0
1.8,9993729400000.0,1.3342444e+35,0.0036105251017220295,2.840131360291914e-11,0.6506948890302284,0.002243402524387026,1.6719688493772748e-11,0.0028233499054974892,2.2955399822078625e-11,300000000000000.0,50,52000000000000.0
2.1,9993556000000.0,1.3198105e+35,0.0038686063213447535,2.6052221060372778e-11,0.626247582002583,0.002396781546566183,1.5649284974544815e-11,0.003033371548377953,2.136544499828341e-11,300000000000000.0,50,52000000000000.0
2.5,9993325400000.0,1.3062878e+35,0.004182429690334049,2.3629689488895713e-11,0.5985929786201841,0.002587195684736543,1.4496816538558188e-11,0.0032926412343172442,1.968212067940272e-11,300000000000000.0,50,52000000000000.0
3.0,9993037500000.0,1.2945931e+35,0.004537419114019541,2.1341508170554715e-11,0.5697711566958701,0.002807101744031431,1.3360427561784402e-11,0.003590478815963358,1.804848115123119e-11,300000000000000.0,50,52000000000000.0
3.6,9992692000000.0,1.2844969e+35,0.004922219677522908,1.9280923499379224e-11,0.5411464224487663,0.0030501356253081566,1.2295015406329578e-11,0.003918108580138436,1.6538121612480498e-11,300000000000000.0,50,52000000000000.0
4.3,9992288900000.0,1.2754046e+35,0.005328433428775512,1.74716966962912e-11,0.5135413410898847,0.003311199187380669,1.1324722313664521e-11,0.0042686617563561366,1.51787310502388e-11,300000000000000.0,50,52000000000000.0
5.2,9991770100000.0,1.2657634e+35,0.005800143219227994,1.5732886572162583e-11,0.4844418490793081,0.0036192796037290698,1.0359612401118832e-11,0.0046809370164302205,1.384034754092932e-11,300000000000000.0,50,52000000000000.0
6.2,9991193100000.0,1.2563016e+35,0.006274135601434263,1.4287170409926931e-11,0.45800485422382353,0.0039333485440038694,9.531380464111621e-12,0.00510001696624627,1.270167252474437e-11,300000000000000.0,50,52000000000000.0
7.5,9990442000000.0,1.2442761e+35,0.006831596369682396,1.2881179667801094e-11,0.4300267331279872,0.004307515051818901,8.702138195435982e-12,0.0055980754274278805,1.1569864810097338e-11,300000000000000.0,50,52000000000000.0
9.0,9989574500000.0,1.229064e+35,0.007413052288826324,1.1673466456220283e-11,0.40394229793790654,0.004702338595060446,7.970107190167732e-12,0.00612253711352923,1.0576960494687551e-11,300000000000000.0,50,52000000000000.0
11.0,9988416500000.0,1.2140553e+35,0.008112301276625586,1.0484158242507125e-11,0.3761384309456611,0.005182108199986512,7.230541833006111e-12,0.006758696769568661,9.579185293058267e-12,300000000000000.0,50,52000000000000.0
13.0,9987256100000.0,1.1992431e+35,0.00874649108646172,9.59400536465907e-12,0.3537844029557892,0.005620995986346338,6.664408261861324e-12,0.007339813675028742,8.818688187483e-12,300000000000000.0,50,52000000000000.0
16.0,9985517600000.0,1.1671614e+35,0.009607591971320965,8.600064231511306e-12,0.32708337494824463,0.006221380976121577,6.019165829110348e-12,0.008133791484054995,7.955073516577903e-12,300000000000000.0,50,52000000000000.0
19.0,9983787100000.0,1.1298686e+35,0.010387414037799607,7.861545958497875e-12,0.30594405842588457,0.006768537813273672,5.530675563571276e-12,0.008856631698507074,7.303290659708016e-12,300000000000000.0,50,52000000000000.0
23.0,9981499100000.0,1.0784269e+35,0.011333231448592511,7.119808732005821e-12,0.28350582336225355,0.007435460749660478,5.032301788349344e-12,0.009736968213888728,6.639951980447183e-12,300000000000000.0,50,52000000000000.0
27.0,9979238000000.0,1.0277026e+35,0.01219718583227248,6.555085331604371e-12,0.2655623760586513,0.008047035001750925,4.647749554609444e-12,0.010543704947613232,6.129139336593271e-12,300000000000000.0,50,52000000000000.0
32.0,9976454500000.0,9.6668952e+34,0.013189178272014863,6.0082574698175675e-12,0.2474460802064927,0.008751297289376302,4.271319597311955e-12,0.011472214560515354,5.629908640443495e-12,300000000000000.0,50,52000000000000.0
39.0,9972643500000.0,8.8763278e+34,0.014452925891736064,5.4316151920265665e-12,0.2275247487413231,0.009650744892630538,3.870264764113797e-12,0.01265746862423604,5.098808957079494e-12,300000000000000.0,50,52000000000000.0
47.0,9968414400000.0,8.0857938e+34,0.01576276879988614,4.940681042856019e-12,0.20988882622446842,0.010584775480086902,3.5257590929626107e-12,0.013887762513466006,4.643186179739167e-12,300000000000000.0,50,52000000000000.0
56.0,9963813800000.0,7.3344115e+34,0.01710738082873848,4.5215092270741285e-12,0.1943351736299817,0.01154476591235554,3.2296124402054414e-12,0.015151822931394894,4.251916807499968e-12,300000000000000.0,50,52000000000000.0
67.0,9958407800000.0,6.5640582e+34,0.018609967477424688,4.1300812587004065e-12,0.17940099212799093,0.01261833487250521,2.951613354497724e-12,0.016565045382730254,3.884927981019488e-12,300000000000000.0,50,52000000000000.0
80.0,9952309500000.0,5.9348319e+34,0.020232927313768148,3.776989223138285e-12,0.16559417261237197,0.013778341728730529,2.699818494030907e-12,0.0180916956906259,3.552763832642786e-12,300000000000000.0,50,52000000000000.0
96.0,9945134400000.0,5.4338572e+34,0.022057437820233988,3.445610681846232e-12,0.1523567436556076,0.015082502654890872,2.4627935517579736e-12,0.01980772472113705,3.2402678004017665e-12,300000000000000.0,50,52000000000000.0
120.0,9934640300000.0,5.178632e+34,0.024527125004884798,3.0792506256212116e-12,0.13742723419569147,0.016847478707671056,2.2001469553354688e-12,0.02212967232328399,2.8941811240595146e-12,300000000000000.0,50,52000000000000.0
140.0,9926194700000.0,4.9839894e+34,0.026400018505412237,2.8489469105301317e-12,0.1278923021310593,0.018185449594915973,2.0348230916534538e-12,0.023889617694728082,2.6764281509470696e-12,300000000000000.0,50,52000000000000.0
170.0,9914013000000.0,4.6966027e+34,0.02897202081429222,2.582761902714921e-12,0.11673804042128039,0.02002197752754449,1.8436319556430526e-12,0.026305095638672334,2.4246853761817483e-12,300000000000000.0,50,52000000000000.0
200.0,9902347300000.0,4.4424475e+34,0.03132292021740743,2.3787854494863616e-12,0.10810036537954365,0.02169967966426822,1.6971030605334842e-12,0.02851147396249533,2.2318035023204862e-12,300000000000000.0,50,52000000000000.0
240.0,9887500900000.0,4.0726922e+34,0.03419470478651878,2.1684998005321964e-12,0.09912124360976211,0.02374788391486766,1.546076864761382e-12,0.031204903686436233,2.033046129797837e-12,300000000000000.0,50,52000000000000.0
290.0,9870222800000.0,3.2678753e+34,0.03746056407443152,1.96940087634641e-12,0.09055129576571277,0.02607559022463068,1.4031611442946244e-12,0.03426567602417584,1.845000447245388e-12,300000000000000.0,50,52000000000000.0
350.0,9851972200000.0,2.227711e+34,0.04102077831612811,1.7894418101852402e-12,0.08273841940019842,0.028611361426432756,1.2740805562037757e-12,0.03759984840473409,1.6751874056689304e-12,300000000000000.0,50,52000000000000.0
420.0,9834096200000.0,1.4750114e+34,0.044800652658251124,1.6307450767273497e-12,0.07578504147769963,0.03130181399176084,1.1603488177694282e-12,0.04113723938810967,1.5255870982492025e-12,300000000000000.0,50,52000000000000.0
500.0,9817242500000.0,1.0533417e+34,0.04874589340284629,1.4923123312212675e-12,0.06966575717772236,0.03410825627932957,1.0612288639523343e-12,0.04482699464621047,1.3952210770799515e-12,300000000000000.0,50,52000000000000.0
600.0,9799625800000.0,7.979182e+33,0.05324943139570266,1.3601323449288242e-12,0.06377945956403845,0.03730998140946995,9.66675053560226e-13,0.04903631380694708,1.2708719884637698e-12,300000000000000.0,50,52000000000000.0
710.0,9782755400000.0,6.5403854e+33,0.057781258318932605,1.2483666730755517e-12,0.05877609165616895,0.04053009041675018,8.867997925388808e-13,0.05326969268905648,1.1658348716731295e-12,300000000000000.0,50,52000000000000.0
